Environmental-Terrestrial-Soil-Peat,7
Engineered-Contaminated-Hydrocarbon-Oil_Sand,4
Host_Associated-Mammals-Hindgut_fermenting_Herbivores-Orangutan,1
Engineered-Contaminated-Tetrachloroethylene_and_derivatives-Tetrachloroethylene,3
Engineered-Bioreactor-Aerobic_Bioreactor-Phosphorus_Removal,2
Engineered-Contaminated-Hydrocarbon-Oil_Field,2
Host_Associated-Mammals-Omnivores-Squirrel,1
Host_Associated-Mammals-Foregut_fermenting_Herbivores-Kangaroo,1
Engineered-Solid_waste-Composting-Zoo,2
Host_Associated-Plants-Rhizosphere-Switchgrass,4
Environmental-Terrestrial-Soil-Sub_Tropical_Forest,6
Host_Associated-Mammals-Carnivores-Echidna,1
Engineered-Contaminated-Bioreactor-Unclassified_Bioreactor,2
Host_Associated-Porifera-Unclassified_Porifera-Extracellular_symbionts,2
Environmental-Terrestrial-Sediment-Freshwater_Sediment,3
Host_Associated-Mammals-Omnivores-Pig,1
Environmental-Aquatic-Marine-Deep_ocean,1
Environmental-Air-Outdoor_Air-Upper_Troposphere,11
Host_Associated-Mammals-Foregut_fermenting_Herbivores-Colobus,1
Virome-Viral_Soil-Viral_Agricultural-TBA,1
Host_Associated-Mammals-Carnivores-Bush_Dog,1
Host_Associated-Mammals-Human-Vagina,4
Virome-Viral_Host_associated-Viral_Adult_Feces-TBA,1
Environmental-Aquatic-Freshwater-Lentic,9
Environmental-Terrestrial-Sediment-Non_marine_saline_lake_Sediment,2
Virome-Viral_Host_associated-Viral_Baby_Feces-TBA,1
Environmental-Terrestrial-Soil-Agricultural,3
Environmental-Terrestrial-Soil-Desert,15
Environmental-Aquatic-Thermal_springs-Microbial_mat,3
Host_Associated-Mammals-Omnivores-Black_Lemur,1
Host_Associated-Mammals-Human-Airway,5
Host_Associated-Mammals-Hindgut_fermenting_Herbivores-Rabbit,1
Host_Associated-Mammals-Foregut_fermenting_Herbivores-Big_Horn_Sheep,1
Host_Associated-Mammals-Carnivores-Polar_Bear,1
Host_Associated-Mammals-Human-Oral_Cavity,5
Environmental-Aquatic-Thermal_springs-Water,15
Environmental-Aquatic-Marine-Open_ocean,13
Virome-Viral_Host_associated-Cow_Rumen-TBA,1
Host_Associated-Mammals-Foregut_fermenting_Herbivores-Urial,1
Engineered-Bioreactor-Anaerobic_Bioreactor-Phosphorus_Removal,2
Host_Associated-Mammals-Carnivores-Armadillo,1
Host_Associated-Mammals-Foregut_fermenting_Herbivores-Wallaby,1
Host_Associated-Mammals-Carnivores-Hyena,1
Virome-Viral_Soil-Viral_Desert-TBA,1
Environmental-Aquatic-Freshwater-Groundwater,3
Engineered-Contaminated-Hydrocarbon-Oil_Polluted,5
Host_Associated-Mammals-Hindgut_fermenting_Herbivores-Capybara,1
Host_Associated-Mammals-Carnivores-Lion,1
Host_Associated-Mammals-Omnivores-Wild_Panda,4
Virome-Viral_Soil-Viral_Praire-TBA,1
Environmental-Aquatic-Non_marine_saline_lake-Meromictic,7
Environmental-Terrestrial-Soil-Tundra,2
Host_Associated-Mammals-Human-Skin,5
Host_Associated-Mammals-Omnivores-Black_Bear,1
Environmental-Aquatic-Marine-Coral_reef,20
Environmental-Aquatic-Marine-Hydrothermal_vent,5
Host_Associated-Mammals-Foregut_fermenting_Herbivores-Hyrax,1
Engineered-Contaminated-Tetrachloroethylene_and_derivatives-Chloroethene,1
Virome-Viral_Aquatic-Viral_Marine-Viral_OMZ,3
Virome-Viral_Aquatic-Viral_Coral_reef-TBA,1
Virome-Viral_Host_associated-Viral_Swine-TBA,1
Host_Associated-Mammals-Carnivores-Dog,1
Engineered-Bioreactor-Anaerobic_Bioreactor,5
Host_Associated-Insect_Gut-Bee,2
Environmental-Aquatic-Ashphalt_Lake,1
Host_Associated-Insect_Gut-Termite_Gut,8
Environmental-Air-Outdoor_Air,3
Engineered-Bioreactor-Anaerobic_Digester_Sludge,11
Host_Associated-Porifera-Unclassified_Porifera,6
Host_Associated-Insect_Gut-Beetle_Gut,5
Virome-Viral_Sewage,3
Engineered-Acid_Mine_Drainage,2
