GH.Family,1,2,3,5,6,10,13,15,16,20,23,25,26,27,28,29,30,31,32,33,36,38,43,50,55,57,63,77,78,88,92,94,95,97,105,106,108,115,116,117
Functional.Screening,3,2,7,6,1,0,0,0,6,1,0,0,0,1,0,2,5,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0
End.Sequences,1,20,11,3,0,2,8,1,4,1,4,1,1,0,4,6,1,4,1,1,3,2,4,1,0,3,1,1,4,3,12,4,3,2,5,3,1,2,1,1
Transposon,2,1,6,6,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
